"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@TrinaDeLaMuerte Don't be silly. Only Mexicans can be illegals, remember? #sarcasm",FALSE,0,"TrinaDeLaMuerte",2017-09-26 02:40:40,FALSE,"912506625738584064","912507182901587968","199550630","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ATQuig",0,FALSE,FALSE,NA,NA
"<U+0932><U+093E><U+0907><U+0915>                <U+0915><U+092E><U+0947><U+0902><U+091F>                    <U+0936><U+0947><U+092F><U+0930>

https://t.co/8G1BW7JjGN
#Sarcasm https://t.co/DWKxEnEZSd",FALSE,0,NA,2017-09-26 02:38:41,FALSE,NA,"912506684282626048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AshSubh",0,FALSE,FALSE,NA,NA
"RT @PereraWorld: #lol #funny #comedy #sarcasm when he says “she told me that i’m not enough” i felt that https://t.co/T811OngE7K",FALSE,0,NA,2017-09-26 02:38:01,FALSE,NA,"912506513683607552",NA,"<a href=""https://twitter.com/LuciaBalashova"" rel=""nofollow"">little quite Lucia</a>","LuciaBalashova",1,TRUE,FALSE,NA,NA
"RT @tekvijay: <U+0B9F><U+0BCD><U+0BB5><U+0BBF><U+0B9F><U+0BCD><U+0B9F><U+0BB0><U+0BCD><U+0BB2> <U+0B85><U+0BB0><U+0B9A><U+0BBF><U+0BAF><U+0BB2><U+0BCD> <U+0BAA><U+0BA3><U+0BCD><U+0BB1><U+0BA4><U+0BBE><U+0BB2> <U+0B8E><U+0BA9><U+0BCD><U+0BA9> <U+0B9A><U+0BBE><U+0BB0><U+0BCD> <U+0BAF><U+0BC2><U+0BB8><U+0BCD>?! #sarcasm https://t.co/Cr4VoANOsT",FALSE,0,NA,2017-09-26 02:37:34,FALSE,NA,"912506401334759424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kamalfan35",7,TRUE,FALSE,NA,NA
"#lol #funny #comedy #sarcasm when he says “she told me that i’m not enough” i felt that https://t.co/T811OngE7K",FALSE,0,NA,2017-09-26 02:37:05,FALSE,NA,"912506280656371712",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","PereraWorld",1,FALSE,FALSE,NA,NA
"RT @NaomioftheNorth: @jaketapper Thanks so much for all the time given to #PlannedParenthood debate (#sarcasm ) - what an abysmal allowance…",FALSE,0,NA,2017-09-26 02:34:42,FALSE,NA,"912505680497606657",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cecilia45301471",1,TRUE,FALSE,NA,NA
"Before I sit down at my desk tomorrow at work... I'm going to #TakeAknee. You know... cuz it's my right and all.  #Sarcasm #NFLBoycott",FALSE,2,NA,2017-09-26 02:33:44,FALSE,NA,"912505436775047168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rochette6",0,FALSE,FALSE,NA,NA
"@Kyle63AZ @Resist_Libs @BigDog2367 @KyleInAZ_ @DeGOYable @2A_4US @Trumpiteer @KyleOfAz_ @C1imateHoax @COVFEFE4US… https://t.co/kU99pthLx6",FALSE,0,"Kyle63AZ",2017-09-26 02:33:28,TRUE,"910494435049275393","912505369632624640","835554559774773249","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wikileaksonweed",0,FALSE,FALSE,NA,NA
"Each morning I wake up and ponder how hard life must be for the wealthy.  We must make life easier for them. #inequality #auspol #sarcasm",FALSE,1,NA,2017-09-26 02:31:49,FALSE,NA,"912504954631286784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shanilsam",0,FALSE,FALSE,NA,NA
"RT @tekvijay: <U+0B9F><U+0BCD><U+0BB5><U+0BBF><U+0B9F><U+0BCD><U+0B9F><U+0BB0><U+0BCD><U+0BB2> <U+0B85><U+0BB0><U+0B9A><U+0BBF><U+0BAF><U+0BB2><U+0BCD> <U+0BAA><U+0BA3><U+0BCD><U+0BB1><U+0BA4><U+0BBE><U+0BB2> <U+0B8E><U+0BA9><U+0BCD><U+0BA9> <U+0B9A><U+0BBE><U+0BB0><U+0BCD> <U+0BAF><U+0BC2><U+0BB8><U+0BCD>?! #sarcasm https://t.co/Cr4VoANOsT",FALSE,0,NA,2017-09-26 02:28:56,FALSE,NA,"912504228244987904",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","KamalHaasanFans",7,TRUE,FALSE,NA,NA
