"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"So happy with @GameStop shipping. They did an excellent job of protecting this game in the mail! #sarcasm #pissed… https://t.co/YNe3SzBZt1",FALSE,0,NA,2017-09-18 20:39:54,TRUE,NA,"909879679322136576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FitzPSG",0,FALSE,FALSE,NA,NA
"@EminiVolume The ""just call Jason Pries app"". Blahhh Lol.<ed><U+00A0><U+00BD><ed><U+00B8><U+0082> <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> <ed><U+00A0><U+00BD><ed><U+00B2><U+00A9> #sarcasm",FALSE,0,"EminiVolume",2017-09-18 20:37:38,FALSE,"909861071845965824","909879109035155457","3253098732","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TeamDayTrader",0,FALSE,FALSE,NA,NA
"@DannyProl Really powerfull reason! I'll never contract someone reading on paper, riding a bike or able to play piano. #sarcasm",FALSE,0,"DannyProl",2017-09-18 20:36:33,FALSE,"909817481522499585","909878835717566465","498835221","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","snavarropino",0,FALSE,FALSE,NA,NA
"Who's our Special Teams coach?
#Sarcasm 
These numbers are awful. What's it going to take to appoint someone respon… https://t.co/be6ReKA6aU",FALSE,0,NA,2017-09-18 20:35:56,TRUE,NA,"909878678275842048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rnewman64",0,FALSE,FALSE,NA,NA
"@gabrielrufian Madre mía, que malote. Eso si es ser valiente 

#sarcasm",FALSE,5,"gabrielrufian",2017-09-18 20:33:44,FALSE,"909877844171517952","909878126557171715","2904896141","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adoctrinadets",0,FALSE,FALSE,NA,NA
"@ChrisPirillo #sarcasm",FALSE,0,"ChrisPirillo",2017-09-18 20:32:48,FALSE,"909870876513886208","909877889536901120","756278","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPanePlus for Android</a>","eric_nordberg",0,FALSE,FALSE,NA,NA
"Doug's a sweet guy but he's never going to make it in the big leagues.  Lacks credentials and initiative.  #sarcasm https://t.co/UaVgRSaGz6",FALSE,0,NA,2017-09-18 20:30:31,FALSE,NA,"909877314984521728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BeltwayGreg",0,FALSE,FALSE,NA,NA
"Hope the Emmy's last night were the lowest rated ever. I mean, any show with no participation trophies should be banned. <ed><U+00A0><U+00BD><ed><U+00B8><U+0092>#Sarcasm",FALSE,0,NA,2017-09-18 20:29:55,FALSE,NA,"909877165377949696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DJJohnnyMarks",0,FALSE,FALSE,NA,NA
"#lol #funny #comedy #sarcasm Me most of the year: Want that. Want that. Want that.

Me near my birthday &amp; Christmas: I CANNOT THINK OF A SI…",FALSE,0,NA,2017-09-18 20:24:15,FALSE,NA,"909875739171934213",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","PereraWorld",0,FALSE,FALSE,NA,NA
"En Venezuela no tendremos a The Killers pero no el 2018 tenemos y tendremos patria! <ed><U+00A0><U+00BD><ed><U+00B8><U+0091><ed><U+00A0><U+00BD><ed><U+00B8><U+0091><ed><U+00A0><U+00BD><ed><U+00B8><U+0091> #sarcasm #sarcasmo https://t.co/Q5gSIvXKKL",FALSE,0,NA,2017-09-18 20:23:13,FALSE,NA,"909875477803872256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","roelameda",0,FALSE,FALSE,NA,NA
"Failing President Obama wants to replace your CLEAN COAL job with PUTERS! This is why I support @realDonaldTrump… https://t.co/cFd4ilQ0xl",FALSE,0,NA,2017-09-18 20:23:04,TRUE,NA,"909875441472811009",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BROWNPOTUS",0,FALSE,FALSE,NA,NA
"Fellaini world class as usual #Sarcasm",FALSE,0,NA,2017-09-18 20:20:18,FALSE,NA,"909874746392813568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dannymurphy1",0,FALSE,FALSE,NA,NA
"RT @MarieAnnUK: I've heard they are so good for Britain they would give us an unfair advantage in negotiations. #Sarcasm https://t.co/CWDhl…",FALSE,0,NA,2017-09-18 20:13:16,FALSE,NA,"909872974018301952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sharonpentay",67,TRUE,FALSE,NA,NA
"Amazon should build isecond HQ in Portland, Oregon. Or Vancouver. Maybe Walla Walla, Washington? $AMZN #PacificNorthwestUberAlles #sarcasm",FALSE,0,NA,2017-09-18 20:11:03,FALSE,NA,"909872417782321152",NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>","LaMonicaBuzz",0,FALSE,FALSE,NA,NA
"RT @MarieAnnUK: I've heard they are so good for Britain they would give us an unfair advantage in negotiations. #Sarcasm https://t.co/CWDhl…",FALSE,0,NA,2017-09-18 20:10:28,FALSE,NA,"909872269425627136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PeeJay80c",67,TRUE,FALSE,NA,NA
