"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@Broncos @DemaryiusT...but you guys are ""selfish millionaire athletes"" who just disrespect the flag and don't care about anything #sarcasm",FALSE,1,"Broncos",2017-09-27 02:55:51,FALSE,"912862635938459648","912873390620393473","18734310","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","travisjkaker",1,FALSE,FALSE,NA,NA
"#sarcasm https://t.co/P7waWkSMmT",FALSE,0,NA,2017-09-27 02:55:35,FALSE,NA,"912873325948530689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fersie09",0,FALSE,FALSE,NA,NA
"When I was a kid the teacher wrote on a BLACK board with WHITE chalk and we communicated.  All that has been erased.  #MAGA  #SARCASM #RACE",FALSE,0,NA,2017-09-27 02:54:38,FALSE,NA,"912873086399135744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AnthonyTorinoX",0,FALSE,FALSE,NA,NA
"Look at this #trump being a hypocrite.  Never. #sarcasm https://t.co/zr7mZO90cI",FALSE,0,NA,2017-09-27 02:50:17,FALSE,NA,"912871991862075392",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ShankSinatra",0,FALSE,FALSE,NA,NA
"So if we wanna disrespect the flag we should just wear it in our music videos<ed><U+00A0><U+00BE><ed><U+00B4><U+0094>#sarcasm https://t.co/SNRTAhLqUq",FALSE,0,NA,2017-09-27 02:49:46,FALSE,NA,"912871860211249152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BlakeB_Sucker",0,FALSE,FALSE,NA,NA
"@Friday13thGame along with the new download comes some serious lag! sweet #sarcasm",FALSE,0,"Friday13thGame",2017-09-27 02:48:58,FALSE,"912827280405041152","912871658888810498","3687728429","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bhelwig13",0,FALSE,FALSE,NA,NA
"Is that because the other 86% voted in the Democratic primary and so were ineligible? (#sarcasm) https://t.co/19bITjGQG3",FALSE,3,NA,2017-09-27 02:46:34,FALSE,NA,"912871053382307841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","misszoot",0,FALSE,FALSE,NA,NA
"@me_kimmel @globalerica @kathygriffin @yashar @khloekardashian @KylieJenner @KrisJenner No shit #sarcasm #irony",FALSE,1,"me_kimmel",2017-09-27 02:46:10,FALSE,"912869939912040448","912870953062768640","845854680483811328","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ProudABSewerRat",0,FALSE,FALSE,NA,NA
"@washingtonpost @MurphyDog3 Wow it's been a week since Maria and Clinton only said something 2 days ago!? Ya so imp… https://t.co/tfEJzbVPas",FALSE,0,"washingtonpost",2017-09-27 02:43:34,TRUE,"912781049800871937","912870298143293441","2467791","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RealAmericanBud",0,FALSE,FALSE,NA,NA
"@CollegeHoopNews @LouTEPminer @TheLoboLair #sarcasm",FALSE,2,"CollegeHoopNews",2017-09-27 02:43:00,FALSE,"912869187550400512","912870156769964032","469447891","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Germanf98Gfa",0,FALSE,FALSE,NA,NA
"#Silently #judging your #eyebrows<U+26A1><U+FE0F> #Etsy #Brows #EtsyClub #EtsyRetweet #CustomTees #Sarcasm #BadBrows
https://t.co/HnuuLrxoHf",FALSE,0,NA,2017-09-27 02:42:38,FALSE,NA,"912870065044967424",NA,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>","SpagGraphics",0,FALSE,FALSE,NA,NA
"#lol #funny #comedy #sarcasm RT LaurenPauI: me in class like <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>. https://t.co/g9jEQDMNG7",FALSE,0,NA,2017-09-27 02:41:23,FALSE,NA,"912869749918457858",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","PereraWorld",0,FALSE,FALSE,NA,NA
"#lol #funny #comedy #sarcasm wassup w exes who like ruined ur life hitting u up once they see you're doing great and all that shit",FALSE,0,NA,2017-09-27 02:41:22,FALSE,NA,"912869748295249921",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","PereraWorld",0,FALSE,FALSE,NA,NA
"21 Snappy and Funny Quotes #sarcasm #funnyquotes #funnysayings #humor #snarkyquotes @ibeebz2 https://t.co/EjrGEgcU6S",FALSE,0,NA,2017-09-27 02:41:16,FALSE,NA,"912869722743390208",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","ibeebz2",0,FALSE,FALSE,NA,NA
"21 Snappy and Funny Quotes #sarcasm #funnyquotes #funnysayings #humor #snarkyquotes @looxat https://t.co/ob4RUD1ql9",FALSE,0,NA,2017-09-27 02:41:14,FALSE,NA,"912869712224120832",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","looxat",0,FALSE,FALSE,NA,NA
"21 Snappy and Funny Quotes #sarcasm #funnyquotes #funnysayings #humor #snarkyquotes @ibeebz2 https://t.co/amKJNHhqzv",FALSE,0,NA,2017-09-27 02:41:13,FALSE,NA,"912869706662477825",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","ibeebz2",0,FALSE,FALSE,NA,NA
