"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @romyreiner: To all the people that voted for Trump: you have incredible taste and an extraordinary set of morals. #sarcasm #at #its #fi…",FALSE,0,NA,2017-10-18 19:56:07,FALSE,NA,"920740296522108928",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ssconetwothree1",518,TRUE,FALSE,NA,NA
"#ES_F Hummm, just flip yesterday's price action with today's. <ed><U+00A0><U+00BD><ed><U+00B1><U+008A>Boom Bitches, it's like the same pattern... #sarcasm https://t.co/L9enhHKAct",FALSE,0,NA,2017-10-18 19:55:26,FALSE,NA,"920740124018839552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TeamDayTrader",0,FALSE,FALSE,NA,NA
"@Dajahflawles Actually there are 11 alphabets between U and I <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #Sarcasm. But hey, I believe you. And Starch Man too.",FALSE,0,"Dajahflawles",2017-10-18 19:53:39,FALSE,"920737875557322752","920739673034706949","1024140397","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UncleBish",0,FALSE,FALSE,NA,NA
"@PixelNicki What makes you think we're talking about Rebecca? We all love her so much <ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3> #sarcasm https://t.co/tn2iVnGkXB",FALSE,2,"PixelNicki",2017-10-18 19:52:46,FALSE,"920711318109392908","920739453882290178","881765054827331585","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GelHairedAaron",0,FALSE,FALSE,NA,NA
"My daughter last night: Daddy, where do free benefits come from?
#sarcasm",FALSE,1,NA,2017-10-18 19:52:33,FALSE,NA,"920739397657493504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Blake_View",0,FALSE,FALSE,NA,NA
"RT @judehaste_write: #Comedy #sarcasm       JAYWALKER #romcom https://t.co/hWdJgu3muU #AuthorUproar https://t.co/47qikRAD1t #bookshelf http…",FALSE,0,NA,2017-10-18 19:51:21,FALSE,NA,"920739095281676289",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MJLaBeff",39,TRUE,FALSE,NA,NA
"RT @judehaste_write: #LondonTown #Comedy  #MMA #sarcasm  https://t.co/dbg9YdAO3y  #AuthorUproar https://t.co/TWrY1t1Sjl  #humour #novella #…",FALSE,0,NA,2017-10-18 19:51:03,FALSE,NA,"920739018345779205",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jrsweeney57",188,TRUE,FALSE,NA,NA
"Rabiot is a machine. Unbelievable skill for his size. Sad that he's off to Arsenal due to lack of playing time. #sarcasm #RSCAPSG",FALSE,4,NA,2017-10-18 19:49:56,FALSE,NA,"920738737532948486",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","PSGTalk",0,FALSE,FALSE,NA,NA
"This https://t.co/2dHUqwpd60 #sarcasm #humour",FALSE,0,NA,2017-10-18 19:49:32,FALSE,NA,"920738638811549698",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","sarcasticalarm",0,FALSE,FALSE,NA,NA
"RT @DPMCanty: @MoJr13 @EricHolder You're right. Photos proving the exact thing lied about aren't credible. <ed><U+00A0><U+00BD><ed><U+00B8><U+0092> #sarcasm",FALSE,0,NA,2017-10-18 19:45:26,FALSE,NA,"920737604789850112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Joaco101097",1,TRUE,FALSE,NA,NA
"RT @judehaste_write: #Comedy #sarcasm       JAYWALKER #romcom https://t.co/hWdJgu3muU #AuthorUproar https://t.co/47qikRAD1t #bookshelf http…",FALSE,0,NA,2017-10-18 19:43:04,FALSE,NA,"920737011987656704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GabrielConstans",39,TRUE,FALSE,NA,NA
"RT @judehaste_write: #Comedy #sarcasm       JAYWALKER #romcom https://t.co/hWdJgu3muU #AuthorUproar https://t.co/47qikRAD1t #bookshelf http…",FALSE,0,NA,2017-10-18 19:42:28,FALSE,NA,"920736857964601344",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","authorbasil",39,TRUE,FALSE,NA,NA
"RT @judehaste_write: #Comedy #sarcasm       JAYWALKER #romcom https://t.co/hWdJgu3muU #AuthorUproar https://t.co/47qikRAD1t #bookshelf http…",FALSE,0,NA,2017-10-18 19:42:19,FALSE,NA,"920736823160193024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AuthorEllie",39,TRUE,FALSE,NA,NA
"RT @judehaste_write: #LondonTown #Comedy  #MMA #sarcasm  https://t.co/dbg9YdAO3y  #AuthorUproar https://t.co/TWrY1t1Sjl  #humour #novella #…",FALSE,0,NA,2017-10-18 19:41:00,FALSE,NA,"920736491474526209",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","MAllanScott",188,TRUE,FALSE,NA,NA
"@jaketapper I'm shocked...not that @SenJohnMcCain would call @POTUS out, but that Trump would somehow shave the truth...

#SARCASM",FALSE,0,"jaketapper",2017-10-18 19:40:47,FALSE,"920735880087826437","920736436332257285","14529929","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","realrael_",0,FALSE,FALSE,NA,NA
"@bwecht Wait, you have a PHD? I feel like that should have come up before! #sarcasm",FALSE,0,"bwecht",2017-10-18 19:40:03,FALSE,"920733729399586816","920736252948893696","19890160","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LTJZamboni",0,FALSE,FALSE,NA,NA
